city,category,ipc,year,month
Valledupar,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",1.25,2022,9
Montería,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.84,2022,9
Neiva,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.66,2022,9
Riohacha,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",1.05,2022,9
Santa Marta,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.62,2022,9
Villavicencio,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.44,2022,9
Pasto,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.56,2022,9
Cúcuta,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",1.48,2022,9
Armenia,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.83,2022,9
Pereira,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",1.01,2022,9
Bucaramanga,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.53,2022,9
Sincelejo,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.69,2022,9
Ibagué,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.79,2022,9
Cali,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",-0.05,2022,9
Otras Areas Urbanas,"Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",0.51,2022,9
Medellín,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.49,2022,9
Barranquilla,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.79,2022,9
"Bogotá, D.C.","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.61,2022,9
Cartagena De Indias,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.86,2022,9
Tunja,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.3,2022,9
Manizales,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.27,2022,9
Florencia,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.15,2022,9
Popayán,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.79,2022,9
Valledupar,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.79,2022,9
Montería,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",2.0,2022,9
Neiva,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.78,2022,9
Riohacha,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.26,2022,9
Santa Marta,"Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",1.62,2022,9
